timestamp,nearby_requests,details_requests,total_requests,cumulative_total_requests
2025-09-30 12:13:47,7,112,119,119
2025-09-30 12:56:49,7,111,118,237
2025-09-30 13:03:57,4,24,28,265
2025-09-30 13:07:15,4,21,25,290
2025-09-30 13:32:26,4,24,28,318
2025-09-30 15:21:10,4,26,30,348
2025-09-30 15:47:16,4,24,28,376
2025-09-30 18:41:04,1,0,1,377
2025-09-30 18:56:46,1,0,1,378
2025-09-30 19:01:25,1,0,1,379
2025-09-30 19:04:27,1,0,1,380
2025-09-30 19:27:29,1,0,1,381
2025-10-01 18:27:35,1,0,1,382
2025-10-01 18:39:09,1,0,1,383
2025-10-01 23:13:09,1,4,5,388
2025-10-01 23:14:01,1,0,1,389
2025-10-02 11:14:29,1,6,7,396
2025-10-02 12:35:13,5,8,13,409
2025-10-02 15:47:31,10,41,51,460
2025-12-30 17:44:04,125,644,769,1229
