comune,keyword,nome,indirizzo,telefono,sito_web,email,linkedin,pertinenza,categoria,confidenza_analisi,admin_name,num_recensioni,tipo,distanza_km
Cave,fotovoltaico,Spazio Enel Partner Cave," Via T. Boccuccia, 9, 00033 Cave RM", 06 8733 3243,https://www.enel.it/it-it/spazio-enel/city/store-detail?storeId=12660&utm_source=google&utm_medium=GMBSitelink&utm_campaign=GMBSitelink_Cave_7Y7,"e-mobility@enel.com, investor.relation@enel.com, enelenergia@pec.enel.it",https://www.linkedin.com/company/enelenergia,False,non_pertinente,0.53,,,,
Cave,fotovoltaico,Master Green System Srls," Vicolo I. Angelini, 4, 00036 Palestrina RM", 335 782 6715,https://www.mastergreensystem.it/,info@mastergreensystem.it,,True,fotovoltaico,1.0,,,,
Cave,fotovoltaico,Studio Egeo," Viale Pio XII, 00033 Cave RM", 06 958 0911,http://www.studioegeo.com/,info@studioegeo.com,,False,non_pertinente,0.5,,,,
Cave,fotovoltaico,Impianti Tecnici S.r.l.s.," Via Vallicelle, 14/C, 00033 Cave RM", 393 639 4993,https://www.mastergreensystem.it/,info@mastergreensystem.it,,True,fotovoltaico,1.0,,,,
Cave,fotovoltaico,PV System srl - Impianti Fotovoltaici,"Spazio Enel Partner Cave 4,0 Azienda fornitrice di energia elettrica · 9 Via T. Boccuccia Aperto ⋅ Chiude alle ore 18 · 06 8733 3243",,https://www.mastergreensystem.it/,info@mastergreensystem.it,,True,fotovoltaico,1.0,,,,
Cave,fotovoltaico,Punto Edison Cave (RM) - ECO CLIMA 2006 - Business Partner," Viale Pio XII, 43, 00033 Cave RM", 06 5730 1851,https://www.edisonenergia.it/edison/assistenza/edison-store,"diventapartner@edison.it, condomini@servizioclientiedison.it, assicurativiedisonenergia@pec.edison.it, edisonenergia@pec.edison.it, serviziassicurativi@edisonenergia.it, metanoauto@edison.it",,False,non_pertinente,0.63,,,,
Cave,fotovoltaico,EVOLUTION IMPIANTI ELETTRICI FOTOVOLTAICI,"Spazio Enel Partner Cave 4,0 Azienda fornitrice di energia elettrica · 9 Via T. Boccuccia Aperto ⋅ Chiude alle ore 18 · 06 8733 3243",,https://www.mastergreensystem.it/,info@mastergreensystem.it,,True,fotovoltaico,1.0,,,,
Cave,fotovoltaico,Al.Ga . Impianti Fotovoltaici,"Master Green System Srls 4,8 Impianto solare fotovoltaico · Vicolo I. Angelini, 4 Aperto ⋅ Chiude alle ore 17 · 335 782 6715",,https://www.mastergreensystem.it/,info@mastergreensystem.it,,True,fotovoltaico,1.0,,,,
Cave,fotovoltaico,B & T Impianti," Viale Pio XII, 46, 00033 Cave RM", 366 854 0299,https://www.btimpiantiroma.it,,,False,unknown,0.5,,,,
Fivizzano,fotovoltaico,Campo fotovoltaico," Via Provinciale, 8, 54013 Fivizzano MS","Via Provinciale, 8, 54013 Fivizzano MS",,,,False,Sconosciuto,0.0,,,,
Fivizzano,fotovoltaico,Impianti Elettrici/Fotovoltaici di Santini Rizieri - Linea Vita (NEW!!!!)," Via Garfagnana, 21, 54013 Fivizzano MS", 0585 949062,,,,False,Sconosciuto,0.0,,,,
Ficozzivoli,fotovoltaico,Lazio Green Power Srl," Via Sant'Elpidio a Mare, 34, 00132 Roma RM", 351 571 1679,https://www.laziogreenpower.com,info@laziogreenpower.com,,False,non_pertinente,0.5,,,,
Ficozzivoli,fotovoltaico,Itaenergy," Via Acqua Felice, 20, 00040 Monte Compatri RM", 329 367 5089,https://itaenergy.eu,,,False,non_pertinente,0.63,,,,
Ficozzivoli,fotovoltaico,"Be Solar O&M | Riqualificazione Edilizia e Soluzioni Energetiche: Ristrutturazioni, Fotovoltaico e Pompe Di Calore"," Via del Passo del lupo, 32, 00132 Roma RM", 06 9611 0720,http://www.besolar.it,"info@besolar.it, bisogno.info@besolar.it",,False,non_pertinente,0.62,,,,
Ficozzivoli,fotovoltaico,Homefloo," Via Colle dell'Oro, 10, 00039 Zagarolo RM", 06 9480 4983,https://www.homefloo.com,,,False,non_pertinente,0.5,,,,
Ficozzivoli,fotovoltaico,TecnoGreen," Via di Campo Gillaro, 29/A, 00030 San Cesareo RM", 06 3974 4057,http://www.tecno.green,info@tecno.green,,False,unknown,0.5,,,,
Ficozzivoli,fotovoltaico,PV System srl - Impianti Fotovoltaici," Via del Barco, 11, 00019 Tivoli Terme RM", 0774 504052,http://www.pvsystem.it,info@pvsystem.it,,True,fotovoltaico,1.0,,,,
Ficozzivoli,fotovoltaico,Energy Island Srl," Largo Scapoli, 6, 00132 Roma RM", 06 8936 4999,http://www.energyisland.it,,,True,fotovoltaico,1.0,,,,
Ficozzivoli,fotovoltaico,ti.el srls,"Lazio Green Power Srl 5,0 Impianto solare fotovoltaico · Via Sant'Elpidio a Mare, 34 Chiude tra poco ⋅ 18 ⋅ Apre gio alle ore 08 · 351 571 1679",,https://www.laziogreenpower.com,info@laziogreenpower.com,,False,non_pertinente,0.5,,,,
Ficozzivoli,fotovoltaico,Elettricista AlinSystem," Via dei Frassini, 145, 00077 Monte Compatri RM", 347 700 8246,https://www.laziogreenpower.com,info@laziogreenpower.com,,False,non_pertinente,0.5,,,,
Ficozzivoli,fotovoltaico,Tecnosistemi Srl," Km. 2.100 Via Maremmana Terza, San Cesareo, RM 00030", 06 958 9024,https://www.gruppotecnosistemi.it,segreteria@tecnosistemisrl.es,,False,non_pertinente,0.5,,,,
