comune,keyword,nome,indirizzo,telefono,sito_web,num_recensioni,tipo,email,linkedin,pertinenza,categoria,confidenza_analisi,contatto,
Perugia,fotovoltaico,Tekno Umbra - Impianti fotovoltaici Perugia,"Via dei Filosofi, 53, Perugia",347 196 0567,http://www.teknoumbra.com,23,"point_of_interest,establishment",,,True,fotovoltaico,1.0,,
Perugia,fotovoltaico,Zero Energia,"Via Nazzareno Cristofani, 4a, Perugia",075 797 4351,http://www.zeroenergiasrl.it,4,"point_of_interest,establishment",,https://www.linkedin.com/company/zero-energia-srl/,True,fotovoltaico,0.8,,
Perugia,fotovoltaico,Green Energie,"Via Adriatica, 111, Perugia",075 966 4050,https://www.green-energie.it,66,"point_of_interest,establishment",,,True,fotovoltaico,0.8,,
Perugia,fotovoltaico,Consorzio del Fotovoltaico,"Via dei Filosofi, 43, Perugia",327 170 7876,https://www.arkotangente.com,29,"point_of_interest,establishment",,https://www.linkedin.com/company/arkotangente/,True,fotovoltaico,1.0,,
Perugia,fotovoltaico,Mc2 Srl,"Via Aldo Manna, 89/8, Perugia",075 966 0293,https://www.mc2servizi.com,7,"point_of_interest,establishment",,,True,fotovoltaico,1.0,,
Perugia,fotovoltaico,Htc,"Str. Tiberina Sud, 21/g, Perugia",075 465 9543,https://www.htcsrlperugia.it,3,"point_of_interest,establishment",,,True,fotovoltaico,0.67,,
Perugia,fotovoltaico,Next Power,"Str. delle Fratte, 3/B, Perugia",075 527 2401,http://www.nextpowersrl.com,7,"point_of_interest,establishment",,,True,fotovoltaico,0.86,,
Perugia,fotovoltaico,Euro Energia s.r.l.,"Via Sandro Penna, 118, Perugia",075 527 9118,http://www.euroenergiasrl.it,6,"electrician,point_of_interest,establishment",,,True,fotovoltaico,0.8,,
Perugia,fotovoltaico,Texer,"Via Volumnia, 77, Perugia",075 374 4390,http://www.texersrl.com,2,"point_of_interest,establishment",,https://www.linkedin.com/company/texersrl/,True,fotovoltaico,0.67,,
Perugia,fotovoltaico,1000 Tetti Solari Umbria s.r.l.,"Via Fratelli Cairoli, 24, Perugia",800 171 119,,1,"point_of_interest,establishment",,,True,domotica,0.6,,
Perugia,fotovoltaico,Zed Sistemi Energetici,"Via del Rame, 26, Ponte Felcino",075 824 4720,https://www.zedsistemienergetici.it,2,"electrician,point_of_interest,establishment",,,True,domotica,0.85,,
Perugia,fotovoltaico,Per. Ind. Federico Silvestri - Studio Tecnico OTS,"Str. Fornace la Torre, 1, Perugia",338 770 9952,https://www.verificafotovoltaico.it,4,"finance,store,point_of_interest,establishment",,,True,fotovoltaico,0.8,,
Perugia,fotovoltaico,SOLEMIO energia,"Strada Bellocchio S. Faustino, n.54, Perugia",,http://solemioenergia.com,0,"point_of_interest,establishment",,,True,fotovoltaico,0.8,,
Perugia,fotovoltaico,Sunergise,"Via Palermo, 21, Perugia",075 782 6821,http://solarinverter-repair.com,1,"point_of_interest,establishment",,,True,fotovoltaico,0.8,,
Perugia,fotovoltaico,Punto Fotovoltaico,"Via Palermo, 21, Perugia",075 782 6821,,1,"point_of_interest,establishment",,,True,fotovoltaico,0.6,,
Perugia,fotovoltaico,NPN Energy srl,"Via Gustavo Benucci, 167, Perugia",353 430 6653,https://www.npnenergy.com,5,"point_of_interest,establishment",,,True,fotovoltaico,1.0,,
Perugia,fotovoltaico,GBM Societa' Cooperativa,"Via della Madonna Alta, 122b, Perugia",075 500 4710,http://www.gbmcoop.it,0,"point_of_interest,establishment",,https://www.linkedin.com/company/gbm-coop,True,fotovoltaico,0.76,,
Perugia,fotovoltaico,Euro Elettrica snc,"Via Canzio Pizzoni, 33/A, Sant'Andrea delle Fratte",340 686 7535,https://www.euroelettricasnc.com,0,"electrician,electronics_store,store,point_of_interest,establishment",,,True,domotica,0.8,,
Perugia,fotovoltaico,01Solutions srl,"Via Martiri dei Lager, 3/C, Torgiano",075 900 3036,http://www.01.solutions,1,"point_of_interest,establishment",,,True,fotovoltaico,1.0,,
